caller_phone,receiver_phone,timestamp,duration_sec,doc_id
9832145678,9748123456,2026-03-01 10:15:00,120,fir_101
9748123456,9832145678,2026-03-01 18:30:00,45,fir_101
9832145678,8967234561,2026-03-02 09:00:00,200,fir_102
8967234561,9748123456,2026-03-03 14:20:00,90,fir_102
9748123456,8967234561,2026-03-04 11:05:00,60,fir_102
9123456780,8801234567,2026-03-06 10:00:00,300,fir_103
8801234567,7012345698,2026-03-07 15:45:00,150,fir_103
7012345698,9123456780,2026-03-08 09:30:00,80,fir_103
9123456780,7012345698,2026-03-09 17:00:00,110,fir_103
8801234567,9123456780,2026-03-10 12:15:00,70,fir_103
8967234561,9007123456,2026-03-06 11:00:00,50,fir_102
7896541230,8967234561,2026-03-10 08:00:00,180,fir_102
8967234561,7896541230,2026-03-10 20:10:00,95,fir_102
7896541230,9123456780,2026-03-20 09:15:00,130,fir_103
9832145678,9434567123,2026-03-05 08:01:00,42,fir_101
9434567123,9832145678,2026-03-05 08:15:00,15,fir_101
9832145678,9434567123,2026-03-05 08:40:00,55,fir_101
9434567123,9832145678,2026-03-05 09:05:00,10,fir_101
9832145678,9434567123,2026-03-05 09:20:00,38,fir_101
9434567123,9832145678,2026-03-05 09:45:00,22,fir_101
9832145678,9434567123,2026-03-05 10:10:00,60,fir_101
9434567123,9832145678,2026-03-05 10:35:00,18,fir_101
9832145678,9434567123,2026-03-05 11:00:00,45,fir_101
9434567123,9832145678,2026-03-05 11:20:00,12,fir_101
9832145678,9434567123,2026-03-05 11:45:00,50,fir_101
9434567123,9832145678,2026-03-05 12:10:00,20,fir_101
9832145678,9434567123,2026-03-05 12:35:00,33,fir_101
9434567123,9832145678,2026-03-05 13:00:00,25,fir_101
9832145678,9434567123,2026-03-05 13:25:00,48,fir_101
9434567123,9832145678,2026-03-05 13:50:00,14,fir_101
9832145678,9434567123,2026-03-05 14:15:00,58,fir_101
9434567123,9832145678,2026-03-05 14:40:00,19,fir_101
9832145678,9434567123,2026-03-05 15:05:00,36,fir_101
9434567123,9832145678,2026-03-05 15:30:00,11,fir_101
9832145678,9434567123,2026-03-05 15:55:00,44,fir_101
9434567123,9832145678,2026-03-05 16:20:00,16,fir_101
